Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Art Teacher,SLG Education (SIS Myanmar),"Education, Teaching, Childcare",Yangon.,Benefits: • Ferry Way • Sat and Sunday off,Highlights:• Fun Working environment • International Standards,Career Opportunities: • Learn news skills on the job • Promotion Opportunities • Training,04 Mar 2024,https://www.jobnet.com.mm/job/art-teacher-slg-education-sis-myanmar/95451,1
Business Development Manager,KBZ Bank,"Customer Service, Support",Yangon.,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standards Leading Bank in Myanmar,Career Opportunities: Possibility for job training,04 Mar 2024,https://www.jobnet.com.mm/job/business-development-manager-kbz-bank/96821,1
Assistant Teacher,S.A.M Myanmar,"Education, Teaching, Childcare",Yangon.,Benefits: * Rewards for over performance,Highlights:* Make a difference * Fun working environment * Friendly and warm work place,Career Opportunities: * Training provided * Promotion opportunities,04 Mar 2024,https://www.jobnet.com.mm/job/assistant-teacher-sam-myanmar/96812,1
Aesthetic Doctor,The Clinic De Novo,"Medical, Nursing, Pharmacy",Yangon.,Benefits: . Bouns+commission . Meal Or Travel Allowance . Rewards for over performance,Highlights:. Fun Working Enviroment . Join an experience teams,Career Opportunities: . Training Provided . Learn new Skill On The Job . Management Potential,04 Mar 2024,https://www.jobnet.com.mm/job/aesthetic-doctor-the-clinic-de-novo/93669,1
Procurement Supervisor,Nut House Myanmar,"Procurement, Supply Chain",Yangon.,Benefits: Ferry Provide Overtime payments Rewards for over performance,Highlights:Fun working environment,Career Opportunities: Training provided Learn new skills on the job Promotion opportunities,02 Mar 2024,https://www.jobnet.com.mm/job/procurement-supervisor-nut-house-myanmar/96783,1
Marketing Executive,Greater Man Group of Companies,"Marketing, Media, Creative",Yangon.,Benefits: * Lunch Provide * Ferry Provide * Uniform Provide * Phone & Phone Bill Provide  * Annual reward,Highlights:* Join an experienced team * Make a difference * Fun working environment,Career Opportunities: * Training Provided * Learn new skills on job * Promotion opportunities * Management potential,01 Mar 2024,https://www.jobnet.com.mm/job/marketing-executive-greater-man-group-of-companies/95642,1
Senior Internal Audit Officer,BRAC Myanmar,"Finance, Accounting, Audit",Yangon.,Benefits: *Medical Benefit and Insurance *Phone Bill and Sim Card *Reward over performance *13 months salary *Saturday and Sunday Off,Highlights:*Fun working environment *You can make a difference,Career Opportunities: *Promotion opportunities *Training opportunity,01 Mar 2024,https://www.jobnet.com.mm/job/senior-internal-audit-officer-brac-myanmar/96759,1
Events & Merchandising PIC,MPT - Myanma Posts & Telecommunications,"Marketing, Media, Creative",Yangon.,Benefits: Ferry Transport Health Insurance Performance Bonus,Highlights:An awesome company - Join a winning team - You can make a difference,Career Opportunities: Opportunities for promotion - Possibility for job training - Learn new skills and techniques,01 Mar 2024,https://www.jobnet.com.mm/job/events-and-merchandising-pic-mpt-myanma-posts-and-telecommunications/96688,1
MEP Engineer,Mahaland,"Engineering, Technical, HSE",Yangon.,Benefits: Life Insurance Transportation Meal,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,29 Feb 2024,https://www.jobnet.com.mm/job/mep-engineer-mahaland/89948,1
Business and Channels Manager ( MFI),Capital Diamond Star Group (CDSG),"Sales, Business Development",Yangon.,Benefits: Benefits will be provided according to company policy.,Highlights:You can make a difference,Career Opportunities: Possibility for job training,29 Feb 2024,https://www.jobnet.com.mm/job/business-and-channels-manager-mfi-capital-diamond-star-group-cdsg/96722,1
Auto CAD / Sketchup Designer,Tumil Holdings Limited,"Architecture, Design",Mandalay.,Benefits: Competitive Salary Travelling,Highlights:Professional Development Promotion opportunities,Career Opportunities: Learn new skills Management potential,29 Feb 2024,https://www.jobnet.com.mm/job/auto-cad-sketchup-designer-tumil-holdings-limited/96701,1
Finance & Accounting Staff (Taunggyi),Tumil Holdings Limited,"Finance, Accounting, Audit",Shan State.,Benefits: Competitive Salary Accommodation Travelling,Highlights:Professional Development Promotion opportunities,Career Opportunities: Learn new skills Management potential,29 Feb 2024,https://www.jobnet.com.mm/job/finance-and-accounting-staff-taunggyi-tumil-holdings-limited/96699,1
Assistant To PMO (Taunggyi),Tumil Holdings Limited,"Project, Operations Management",Shan State.,Benefits: Competitive Salary Accommodation Travelling,Highlights:Professional Development Promotion opportunities,Career Opportunities: Learn new skills Management potential,29 Feb 2024,https://www.jobnet.com.mm/job/assistant-to-pmo-taunggyi-tumil-holdings-limited/96698,1
Assistant To PMO (Mandalay),Tumil Holdings Limited,"Project, Operations Management",Mandalay.,Benefits: Competitive Salary Travelling,Highlights:Professional Development Promotion opportunities,Career Opportunities: Learn new skills Management potential,29 Feb 2024,https://www.jobnet.com.mm/job/assistant-to-pmo-mandalay-tumil-holdings-limited/96697,1
Assistant To Executive Director,Tumil Holdings Limited,Management,Shan State.,Benefits: Competitive Salary Accommodation Travelling,Highlights:Professional Development Promotion opportunities,Career Opportunities: Learn new skills Management potential,29 Feb 2024,https://www.jobnet.com.mm/job/assistant-to-executive-director-tumil-holdings-limited/96694,1
Digital Marketing Assistant - Female,"Technoland Computer Trading Co., Ltd.","Marketing, Media, Creative",Yangon.,Benefits: •	Sundays Off/ Public Holidays (Duty on/off) •	Incentive •	Travelling Allowance  •	Uniform,Highlights:An awesome company,Career Opportunities: •	Good career experiences,29 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-assistant-female-technoland-computer-trading-co-ltd/95957,1
Sales War Room Team (PIC/ Team Member),MPT - Myanma Posts & Telecommunications,"Sales, Business Development",Yangon.,Benefits: *Ferry Transport *Health Insurance *Performance Bonus,Highlights:An awesome company - Join a winning team - You can make a difference,Career Opportunities: Opportunities for promotion - Possibility for job training - Learn new skills and techniques,29 Feb 2024,https://www.jobnet.com.mm/job/sales-war-room-team-pic-team-member-mpt-myanma-posts-and-telecommunications/95477,1
API Support,Myanmar Citizens Bank (MCB),"IT Hardware, Software",Yangon.,Benefits: - Ferry - Other benefit,Highlights:- Make a difference - Join an experienced team,Career Opportunities: - Learn new skills on the job - Promotion Opportunities,29 Feb 2024,https://www.jobnet.com.mm/job/api-support-myanmar-citizens-bank-mcb/96663,1
Assistant Accountant,"Sweety Home Industry Co.,Ltd","Finance, Accounting, Audit",Yangon.,Benefits: • Annual Bonus  • Group Life Insurance  • Uniform   • Office Transportation,Highlights:• Fun working environment • Join an experienced team,Career Opportunities: • Training provided  • Learn new skills on the job • Promotion Opportunities,29 Feb 2024,https://www.jobnet.com.mm/job/assistant-accountant-sweety-home-industry-co-ltd/95709,1
HR Officer,AP Towers,"HR, Training and Recruitment",Yangon.,Benefits: *Rewards over performance *Health Benefits,Highlights:*Join an experience team,Career Opportunities: *Learn new skills on job *Promotion Opportunity,29 Feb 2024,https://www.jobnet.com.mm/job/hr-officer-ap-towers/96661,2
Finance Manager - Mobile Money,MPT - Myanma Posts & Telecommunications,"Finance, Accounting, Audit",Yangon.,Benefits: *Ferry Transport *Health Insurance *Performance Bonus,Highlights:- An awesome company - Join a winning team - You can make a difference,Career Opportunities: - Opportunities for promotion - Possibility for job training - Learn new skills and techniques,28 Feb 2024,https://www.jobnet.com.mm/job/finance-manager-mobile-money-mpt-myanma-posts-and-telecommunications/96651,2
Marketing Executive,"Insight Marketing Co.,Ltd","Marketing, Media, Creative",Yangon.,Benefits: Office Hour : 9AM to 5PM Bill Allowance Travel Allowance (if travel),Highlights:Join a winning team,Career Opportunities: Possibility for job training,28 Feb 2024,https://www.jobnet.com.mm/job/marketing-executive-insight-marketing-co-ltd/95641,2
"IT Support Engineer, Citizens Pay",Capital Diamond Star Group (CDSG),"IT Hardware, Software",Yangon.,Benefits: Benefits will be provided according to company policy.,Highlights:Fun Working Environment Join a winning team,Career Opportunities: Learn new skills and techniques,28 Feb 2024,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,2
Accountant (Mandalay),Grand Wynn Group of Companies,"Finance, Accounting, Audit",Mandalay.,Benefits: Uniform,Highlights:Join an experienced team,Career Opportunities: Learn new skills on the Job,28 Feb 2024,https://www.jobnet.com.mm/job/accountant-mandalay-grand-wynn-group-of-companies/96104,2
"Manager, Enterprise Architecture & Planning",ATOM,"IT Hardware, Software",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,27 Feb 2024,https://www.jobnet.com.mm/job/manager-enterprise-architecture-and-planning-atom/96600,2
Mobile App Development & Delivery,ATOM,"IT Hardware, Software",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,27 Feb 2024,https://www.jobnet.com.mm/job/mobile-app-development-and-delivery-atom/96599,2
Digital Content Writer (Myanmar/Thai) WFH,Phantom Games Company Limited,"Writing, Editing",Yangon.,"Benefits: Competitive guaranteed salary, benefits, and  commission based on performance.  Reimbursements for ISP(Internet) and phone Bills.",Highlights:You will be working from the comfort of your home.  No Commute. Fast-growing industry.  You will be working with natives and expats.,Career Opportunities: Possibility for job training,27 Feb 2024,https://www.jobnet.com.mm/job/digital-content-writer-myanmar-thai-wfh-phantom-games-company-limited/96595,2
Assistant Architect - 3D Visualizer,KMA Group of companies,"Architecture, Design",Yangon.,Benefits: Rewards for over performance,Highlights:A rapidly growing organization which will allow your future to grow simultaneously with team,"Career Opportunities: Together with the growth of company business, there are a lot of potential for career development of the employees",27 Feb 2024,https://www.jobnet.com.mm/job/assistant-architect-3d-visualizer-kma-group-of-companies/94990,2
Assistant Architect,Bhone Shwe Pyi Company Limited,"Architecture, Design",Yangon.,Benefits: Rewards for over performance,Highlights:Join an experienced team,Career Opportunities: Promotion Opportunities Management Potential,27 Feb 2024,https://www.jobnet.com.mm/job/assistant-architect-bhone-shwe-pyi-company-limited/95144,2
Brand Assistant (Female - 3 Posts),"EAC Services Co., Ltd","Marketing, Media, Creative",Yangon.,Benefits: * Attractive Salary * Annual Bonus * Sat & Sun (Off),Highlights:Join a winning team,Career Opportunities: Training Provide,27 Feb 2024,https://www.jobnet.com.mm/job/brand-assistant-female-3-posts-eac-services-co-ltd/96430,2
"Performance Management Analyt, Citizens Pay",Capital Diamond Star Group (CDSG),"Project, Operations Management",Yangon.,"Benefits: Ferry Provided  Sat, Sun and Public Holiday Off",Highlights:Internal Standard,Career Opportunities: Possibility for job training,27 Feb 2024,https://www.jobnet.com.mm/job/performance-management-analyt-citizens-pay-capital-diamond-star-group-cdsg/96544,2
National Sales Manager (Or) Regional Sales Manager,Pyei Sone Hein Group of Companies,"Sales, Business Development",Yangon.,Benefits: - Uniform/ Ferry Provided,Highlights:Working Time 8:30 - 5:00  Off Day-Sunday & Gazetted hoilday  Email-pshgroup.mm@gmail.com,Career Opportunities: Learn new skills and techniques,26 Feb 2024,https://www.jobnet.com.mm/job/national-sales-manager-or-regional-sales-manager-pyei-sone-hein-group-of-companies/96498,2
Sales & Marketing Executive (Hlaing Thar Yar),May Kha San Family,"Sales, Business Development",Yangon.,Benefits: - Ferry (Hlaing Thar Yar),Highlights:-,Career Opportunities: -,26 Feb 2024,https://www.jobnet.com.mm/job/sales-and-marketing-executive-hlaing-thar-yar-may-kha-san-family/95901,2
Sales Executive,Greater Man Group of Companies,"Sales, Business Development",Yangon.,Benefits: - Sale Bonus - Lunch Provide - Ferry Provide  - Rewards over performance - Travel Allowance,Highlights:- Fun working environment  - Join an experienced team - Make a difference,Career Opportunities: - Training provided  - Promotion opportunities - Learn new skills on Job,23 Feb 2024,https://www.jobnet.com.mm/job/sales-executive-greater-man-group-of-companies/94656,2
"Digital Marketing Officer/ Supervisor -(YGN, MDY)",Shwe Tatar Gold & Jewelry Group,"Marketing, Media, Creative",Mandalay.,Benefits: Annual Reward + Annual Leaves + Overtime payments + Performance Rewards + Public Holiday Allowances. At least one day off per week.,Highlights:“ We aspire to evolve into a sustainable business group that creates value for all stakeholders and empowers the communities we are in. ”,Career Opportunities: Trainings are provided as needed. Promotion opportunities to Management. Let's build and grow together!,23 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-officer-supervisor-ygn-mdy-shwe-tatar-gold-and-jewelry-group/94744,2
VAS Planning Manager,MPT - Myanma Posts & Telecommunications,"Marketing, Media, Creative",Yangon.,Benefits: *Ferry Transport *Health Insurance *Performance Bonus,Highlights:An awesome company - Join a winning team - You can make a difference,Career Opportunities: Opportunities for promotion - Possibility for job training - Learn new skills and techniques,22 Feb 2024,https://www.jobnet.com.mm/job/vas-planning-manager-mpt-myanma-posts-and-telecommunications/89240,2
Senior Accountant (Manager Level),"Cho Cho Co., Ltd.","Finance, Accounting, Audit",Yangon.,"Benefits: Uniform, Ferry provided, Leave Bonus, Annual Bonus. Meal Allowance","Highlights:Fun Working Environment, Join a experience team.","Career Opportunities: Training provided, Learn new skills on the job.",22 Feb 2024,https://www.jobnet.com.mm/job/senior-accountant-manager-level-cho-cho-co-ltd/95317,2
Manager - Senior Project Manager,Yoma Bank,"Project, Operations Management",Yangon.,Benefits: •	Ferry Provided •	Mobile Phone Allowance •	Life Insurance •	Limited Medical Cover,Highlights:•	Empowered Working Environment •	Diverse Team,Career Opportunities: •	Learning and Development Platform •	Opportunities to Explore Multiple Career Paths,22 Feb 2024,https://www.jobnet.com.mm/job/manager-senior-project-manager-yoma-bank/96331,2
Technical Service Engineer (Thilawa SEZ),"TOA Coating (Myanmar) Co., Ltd.","Engineering, Technical, HSE",Yangon.,Benefits: •	International Organization •	Meal Allowance  •	Travelling Allowance  •	Car Provided •	 •	Life and Health Insurance,Highlights:Saturday and Sunday Off Yearly Increment Bonus,Career Opportunities: Training Provided,21 Feb 2024,https://www.jobnet.com.mm/job/technical-service-engineer-thilawa-sez-toa-coating-myanmar-co-ltd/96312,2
Site Engineer Construction ( Male Only ) ( Insein,"MBM. Heavy Duty Machinery Co,Ltd","Engineering, Technical, HSE",Yangon.,Benefits: Bonus,Highlights:You can make a difference,Career Opportunities: Opportunities for promotion,21 Feb 2024,https://www.jobnet.com.mm/job/site-engineer-construction-male-onlyinsein-mbm-heavy-duty-machinery-co-ltd/94433,2
"Manager, ISIT Sourcing",ATOM,"Procurement, Supply Chain",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,21 Feb 2024,https://www.jobnet.com.mm/job/manager-isit-sourcing-atom/96290,2
"Asst. Manager, IP RAN/Fiber Operation Engineer",ATOM,"Engineering, Technical, HSE",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,21 Feb 2024,https://www.jobnet.com.mm/job/asst-manager-ip-ran-fiber-operation-engineer-atom/96287,2
Depot Supervisor (Nay Pyi Taw),Carlsberg Myanmar,"Logistics, Warehousing, Port",NayPyiTaw.,Benefits: -Attractive Salary & incentative - Life & Health Insurance,Highlights:- International Standard - Join an experienced team,Career Opportunities: - Training provided - Learn new skill on the job,21 Feb 2024,https://www.jobnet.com.mm/job/depot-supervisor-nay-pyi-taw-carlsberg-myanmar/96286,2
IT Network Supervisor (Hlaing),Win Brothers Group of Companies Limited,"IT Hardware, Software",Yangon.,Benefits: Bonus Long Service Award,Highlights:Competitive Salary Package,Career Opportunities: Make a difference,21 Feb 2024,https://www.jobnet.com.mm/job/it-network-supervisor-hlaing-win-brothers-group-of-companies-limited/96283,2
Data Analyst - International Corporate,KBZ Bank,"Project, Operations Management",Yangon.,Benefits: Quarterly Bonus Ferry (YGN area) Uniform Health Care Support,Highlights:International Standards Leading Bank in Myanmar,Career Opportunities: Possibility for job training,21 Feb 2024,https://www.jobnet.com.mm/job/data-analyst-international-corporate-kbz-bank/96279,2
Assistant International Remittance Manager,Myanma Apex Bank (MAB) Ltd,"Sales, Business Development",Yangon.,Benefits: - Ferry provided,Highlights:- Join an experience team,Career Opportunities: - Promotion opportunities,21 Feb 2024,https://www.jobnet.com.mm/job/assistant-international-remittance-manager-myanma-apex-bank-mab-ltd/96253,2
"Internship Program, Citizens Pay",Capital Diamond Star Group (CDSG),"IT Hardware, Software",Yangon.,Benefits: Paid Internship + Phone Allowance + Ferry  Monday to Friday,Highlights:Internship period: 3 months   Fun Working Environment Join a winning team,Career Opportunities: Opportunities for Full time employment.  Training Provided,21 Feb 2024,https://www.jobnet.com.mm/job/internship-program-citizens-pay-capital-diamond-star-group-cdsg/96250,2
Life Planning Officer - LPO (Dawei),GRAND GUARDIAN NIPPON LIFE INSURANCE,"Sales, Business Development",Taninthayi  Division.,Benefits: •Basic salary consists of fixed salary and conveyance    allowance. •Performance Driven Incentive,Highlights:•Career Progress for deserving Candidates in the due   course,Career Opportunities: •Training Provided •Sat / Sun and Public Holiday off.,20 Feb 2024,https://www.jobnet.com.mm/job/life-planning-officer-lpo-dawei-grand-guardian-nippon-life-insurance/93315,2
General Counsel,Industry Leading Company,"Legal, Risk and Compliance",Yangon.,Benefits: Public Holidays Ferry Provide,Highlights:Group of Companies,Career Opportunities: Possibility for job training,20 Feb 2024,https://www.jobnet.com.mm/job/general-counsel/95457,2
Waiter/ Waitress/ Hostess,Mahaland,Food and Beverage,Yangon.,Benefits: Life Insurance Meal Allowance Transportation allowance,Highlights:Join a winning team,Career Opportunities: Possibility for job training,17 Feb 2024,https://www.jobnet.com.mm/job/waiter-waitress-hostess-mahaland/93001,3
Secretary - Supply Chain,Coca-Cola Pinya Beverages Myanmar,Administrative,Yangon.,Benefits: Transportation provided Meal Provided,Highlights:International Standards,Career Opportunities: Learn new skills on job,16 Feb 2024,https://www.jobnet.com.mm/job/secretary-supply-chain-coca-cola-pinya-beverages-myanmar/94867,3
Purchasing Analysis,Industry Leading Company,"Procurement, Supply Chain",Yangon.,Benefits: - Meal Allowance - Transportation Allowance - Communication Allowance,Highlights:- International Standard,Career Opportunities: - Learn new skills on the job,15 Feb 2024,https://www.jobnet.com.mm/job/purchasing-analysis/95136,3
HR Manager - SBU,Tumil Holdings Limited,"HR, Training and Recruitment",Yangon.,Benefits: -,Highlights:Join an experienced team,Career Opportunities: Learn new skills on the job,13 Feb 2024,https://www.jobnet.com.mm/job/hr-manager-sbu-tumil-holdings-limited/93187,3
Assistant Partnership Manager (Citizens Pay),Capital Diamond Star Group (CDSG),"Sales, Business Development",Yangon.,Benefits: Incentive + Ferry + Insurance,Highlights:- Fun and International working standards - On the Job training will be provided,Career Opportunities: - Opportunities for promotion - Possibility for job training - Learn new skills and techniques,09 Feb 2024,https://www.jobnet.com.mm/job/assistant-partnership-manager-citizens-pay-capital-diamond-star-group-cdsg/95824,3
Procurement Supervisor,Irrawaddy Green Towers,"Procurement, Supply Chain",Yangon.,Benefits: - Insurance (Premium Package) - Laptop provide - Phone bill top-up - Ferry arrangement,Highlights:- International Standard Company,Career Opportunities: - Key Performance Indicator,08 Feb 2024,https://www.jobnet.com.mm/job/procurement-supervisor-irrawaddy-green-towers/95122,3
Transportation Manager,Grand Wynn Group of Companies,Administrative,Yangon.,Benefits: Uniform  Ferry,Highlights:Fun working environments make difference,Career Opportunities: Learn new skills on the job,05 Feb 2024,https://www.jobnet.com.mm/job/transportation-manager-grand-wynn-group-of-companies/95151,3
Quality Assurance Engineer (Quantech Team-2),Quantech Company Limited,"IT Hardware, Software",Yangon.,Benefits: Ferry Arrangement,Highlights:Headcount of Team -2,Career Opportunities: Working with Onshore Team,05 Feb 2024,https://www.jobnet.com.mm/job/quality-assurance-engineer-quantech-team-2-quantech-company-limited/94779,3
Internal Control Manager,Coca-Cola Pinya Beverages Myanmar,"Finance, Accounting, Audit",Yangon.,Benefits: Rewards for over performance,Highlights:International Standards,Career Opportunities: Learn new skills on job,02 Feb 2024,https://www.jobnet.com.mm/job/internal-control-manager-coca-cola-pinya-beverages-myanmar/94552,3
HR Admin Manager - VITASPRING,Great Foundation Industries Company Limited,"HR, Training and Recruitment",Yangon.,Benefits: Meal & Ferry Provided,Highlights:New JV Company Fun working environment,Career Opportunities: Management potential,30 Jan 2024,https://www.jobnet.com.mm/job/hr-admin-manager-vitaspring-great-foundation-industries-company-limited/94483,3
Branding Executive,Tumil Holdings Limited,"Marketing, Media, Creative",Yangon.,Benefits: Ferry Rewards over performance,Highlights:International Standards Challenging Atmosphere,Career Opportunities: Expand self-confidence on setting up new dept Knowledge on telecom operator field Wider networking,28 Jan 2024,https://www.jobnet.com.mm/job/branding-executive-tumil-holdings-limited/95218,3
Head Of Internal Audit,"ASA Microfinance (Myanmar) Co.,Ltd","Finance, Accounting, Audit",Yangon.,"Benefits: -Base on Knowledge and skill, salary will be Negotiable -Festival Bonus -Travel & Monitoring Allowance -Yearly increment",Highlights:- Creative Working Environment - International Standards - Make a difference - Join an experienced team,"Career Opportunities: - Promotion opportunities - Learn new skills & knowledge about MFI - We are international company, you will have a pack full of knowledge.",26 Jan 2024,https://www.jobnet.com.mm/job/head-of-internal-audit-asa-microfinance-myanmar-co-ltd/95152,3
Legal Senior Manager / Manager,Tumil Holdings Limited,"Legal, Risk and Compliance",Yangon.,Benefits: . Travel Allowance . Events to enjoy,Highlights:. Smart working environment . Make a change . Experience the difference,Career Opportunities: - Promotion opportunity,23 Jan 2024,https://www.jobnet.com.mm/job/legal-senior-manager-manager-tumil-holdings-limited/94955,3
Officer - Digital,Early Dawn Microfinance,"IT Hardware, Software",Yangon.,Benefits: - Competitive Salary and Benefits package - Health Benefits and Life Insurance - Bonus and Annual Salary Increment,Highlights:- International Standard - Join an experienced team,Career Opportunities: - Training Provided - Learn new skills on the job - Promotion Opportunities - management potential,16 Jan 2024,https://www.jobnet.com.mm/job/officer-digital-early-dawn-microfinance/94571,3
Sales Manager (Distribution Channel),Myanmar Ganad Advertising,"Sales, Business Development",Yangon.,"Benefits: . Bonus + commission . Transportation . Rewards for performance  . Sat, Sun & Public Holidays Off",Highlights:. Fun working environment . Join an experienced team,Career Opportunities: . Promotion opportunity,10 Jan 2024,https://www.jobnet.com.mm/job/sales-manager-distribution-channel-myanmar-ganad-advertising/94357,3
Procurement Executive,"Regal Dynasty Co.,Ltd","Procurement, Supply Chain",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,Today,https://www.jobnet.com.mm/job/procurement-executive-regal-dynasty-co-ltd/95650,3
Brand Marketing Executive,"GNE Co., Ltd.","Marketing, Media, Creative",Yangon,Benefits: Bonus: based on key achievement and reaching goals,Highlights:Join a winning team,Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/brand-marketing-executive-gne-co-ltd/96972,3
Sales Executive,Myanmar Information Technology Pte. Ltd. (MIT),"Sales, Business Development",Yangon,Benefits: * Rewards for over performance,Highlights:* Fun working environment * International standards * Make a difference  * Join and experienced team,Career Opportunities: * Opportunities for promotion * Possibility for job training * Learn new skills and techniques,Today,https://www.jobnet.com.mm/job/sales-executive-myanmar-information-technology-pte-ltd-mit/96970,3
Junior Engineer(NOC) - ADS,Tumil Holdings Limited,"Engineering, Technical, HSE",Yangon,Benefits: Ferry Provided,Highlights:Fun Working environment,Career Opportunities: Learn new skills on the job,Today,https://www.jobnet.com.mm/job/junior-engineernoc-ads-tumil-holdings-limited/96968,3
Digital Sales Manager (Yangon),KBZ Bank,"Sales, Business Development",Yangon,Benefits: International Standard,Highlights:International Standard,Career Opportunities: Opportunities for promotion,Today,https://www.jobnet.com.mm/job/digital-sales-manager-yangon-kbz-bank/91722,3
HR Admin Assistant Manager,"Shwe Kyun International Co.,Ltd","HR, Training and Recruitment",Yangon,Benefits: Overtime payments,Highlights:Make a difference,Career Opportunities: Learn new skills,Today,https://www.jobnet.com.mm/job/hr-admin-assistant-manager-shwe-kyun-international-co-ltd/94737,3
